%"Collected By Brett Hamlin Spt 23, 2009, Houghton, MI"			
%Latitude	Longitude	Elivation (m)	Distrnce (m)
47.105977	-88.544634	256.809	2313.558
47.105965	-88.544666	257.29	2316.268
47.105916	-88.544868	259.693	2332.58
47.105903	-88.545055	258.732	2346.935
47.105907	-88.545084	259.213	2349.215
47.105863	-88.54529	260.655	2365.918
47.105804	-88.545469	262.097	2381.948
47.105889	-88.545577	260.655	2396.181
47.106012	-88.545623	261.616	2411.85
47.106018	-88.545841	265.942	2430.923
47.105932	-88.545859	266.422	2441.182
47.105803	-88.545951	267.865	2462.11
47.105822	-88.546009	269.307	2466.893
47.105943	-88.546057	269.787	2481.526
47.106052	-88.546078	270.268	2494.286
47.106124	-88.546203	270.748	2506.771
47.106179	-88.546354	271.229	2519.913
47.106156	-88.546518	271.229	2532.703
47.106037	-88.546566	272.19	2546.87
47.105885	-88.546549	272.671	2563.954
47.105784	-88.546691	271.229	2585.106
47.105864	-88.546871	271.71	2602.339
47.105807	-88.547057	273.632	2617.93
47.105746	-88.547183	274.594	2630.464
47.10566	-88.547375	274.594	2648.09
47.105645	-88.547564	276.516	2662.678
47.105613	-88.547751	278.439	2677.358
47.105564	-88.547948	283.246	2693.192
47.105558	-88.548112	283.246	2705.394
47.105548	-88.548206	281.323	2711.354
47.105629	-88.548237	273.632	2713.27
47.105532	-88.548132	295.743	2721.855
47.10564	-88.548112	291.897	2735.538
47.105755	-88.548074	288.052	2748.915
47.105781	-88.547934	288.533	2760.008
47.105928	-88.547895	287.091	2778.602
47.105944	-88.547928	286.13	2781.627
47.106011	-88.54813	285.649	2798.659
47.106001	-88.548296	285.168	2810.249
47.105913	-88.548364	282.284	2821.255
47.105824	-88.548519	282.765	2836.324
47.105757	-88.548681	286.61	2849.907
47.105705	-88.548841	288.533	2863.329
47.105665	-88.548977	284.688	2875.094
47.105588	-88.549224	287.091	2895.56
47.105583	-88.549257	287.091	2898.051
47.105689	-88.549327	282.765	2912.635
47.105716	-88.549225	282.765	2921.354
47.105731	-88.549075	281.804	2933.013
47.105846	-88.548946	279.881	2949.18
47.105933	-88.548764	278.92	2966.347
47.10595	-88.548575	277.958	2980.741
47.106074	-88.548478	276.036	2997.423
47.106233	-88.548416	276.036	3016.322
47.106285	-88.548257	277.478	3029.989
47.10625	-88.548093	278.92	3043.421
47.10616	-88.547987	282.765	3056.301
47.106072	-88.547874	286.61	3069.362
47.10603	-88.547792	288.052	3077.161
47.106072	-88.547589	282.765	3094.096
47.106157	-88.547444	277.958	3108.688
47.106306	-88.547286	274.594	3129.157
47.106374	-88.547235	273.632	3137.747
47.106455	-88.547151	272.19	3148.792
47.106452	-88.546971	272.671	3162.461
47.106488	-88.546628	270.748	3189.654
47.106468	-88.546555	271.229	3195.585
47.106556	-88.546283	268.826	3223.136
47.106585	-88.546155	268.826	3233.76
47.106551	-88.546127	273.152	3235.926
47.106471	-88.54597	271.71	3252.003
47.106483	-88.545669	268.826	3276.044
47.106447	-88.545632	268.826	3280.936
47.106306	-88.545463	266.903	3301.479
47.10624	-88.545126	262.577	3328.582
47.106325	-88.544882	259.693	3350.117
47.10639	-88.544742	258.251	3362.955
47.106504	-88.544345	255.848	3396.217
47.106593	-88.544035	254.887	3421.689
47.106649	-88.543831	253.925	3438.337
47.106766	-88.543559	253.925	3462.741
47.106779	-88.543502	253.925	3467.319
47.106848	-88.543244	255.367	3488.469
47.106858	-88.54319	255.367	3492.612
47.106903	-88.543034	254.887	3505.468
47.106855	-88.542818	255.367	3523.02
47.106833	-88.542714	254.887	3531.235
47.106738	-88.542563	254.887	3548.376
47.106782	-88.542541	254.406	3553.477
47.106845	-88.542486	253.445	3561.446
47.106862	-88.54237	253.925	3570.989
47.106815	-88.542229	253.925	3582.902
47.106696	-88.542155	256.329	3598.079
47.106569	-88.542144	261.135	3612.17
47.106438	-88.542083	261.616	3627.713
47.106326	-88.541857	257.29	3649.236
47.106286	-88.541693	252.483	3662.518
47.106293	-88.541439	246.235	3682.085
47.106425	-88.541387	243.351	3697.121
47.106486	-88.541332	241.428	3705.164
47.106658	-88.541125	238.064	3729.973
47.106672	-88.541084	237.102	3733.422
47.106691	-88.540857	236.141	3750.891
47.106639	-88.540545	235.18	3775.438
47.106622	-88.540483	234.699	3780.576
47.106578	-88.540364	234.699	3790.834
47.106485	-88.540083	232.296	3814.638
47.106483	-88.540023	231.815	3819.191
47.106431	-88.539717	227.97	3843.254
47.106403	-88.539644	227.009	3849.596
47.106247	-88.539269	223.163	3883.05
47.106154	-88.539067	222.202	3903.072
47.106247	-88.539059	221.721	3913.886
47.106313	-88.539089	221.241	3921.672
47.106422	-88.539011	222.202	3935.51
47.106552	-88.539018	223.163	3950.409
47.106606	-88.538935	225.567	3959.202
47.106695	-88.538826	227.009	3972.64
47.106749	-88.538779	227.97	3979.606
47.106742	-88.538785	230.373	3980.048
47.106746	-88.53884	233.257	3984.264
47.106805	-88.538949	233.738	3994.82
47.106823	-88.538986	234.218	3998.247
47.106934	-88.539089	233.257	4012.807
47.107045	-88.539212	235.66	4028.361
47.107106	-88.539386	234.218	4043.227
47.107129	-88.539552	234.699	4056.03
47.107182	-88.539716	234.218	4069.841
47.107294	-88.539879	232.296	4087.469
47.107393	-88.539977	230.854	4100.672
47.107493	-88.540074	231.815	4114.136
47.107578	-88.540205	231.815	4127.889
47.107652	-88.540316	234.699	4139.692
47.107742	-88.540456	237.102	4154.341
47.107826	-88.5406	237.583	4169.026
47.107914	-88.540648	239.025	4179.485
47.107951	-88.540799	239.986	4191.678
47.107962	-88.541035	242.87	4209.966
47.107992	-88.541222	243.832	4224.614
47.108019	-88.541344	245.273	4234.266
47.108074	-88.5415	246.715	4247.951
47.108158	-88.541668	247.196	4263.675
47.108218	-88.541746	246.715	4272.551
47.108254	-88.541921	249.599	4286.601
47.108244	-88.542106	255.848	4301.188
47.108223	-88.542227	255.367	4310.553
47.108176	-88.542304	257.771	4318.326
47.108118	-88.542443	262.577	4331.295
47.108252	-88.542568	258.732	4349.545
47.108292	-88.542696	259.213	4360.805
47.108283	-88.542818	259.213	4370.099
47.10826	-88.543008	264.5	4384.431
47.108285	-88.543222	259.213	4400.396
47.108293	-88.543315	255.848	4407.351
47.108203	-88.543351	260.174	4415.306
47.108073	-88.543294	265.942	4430.103
47.108102	-88.543276	265.461	4433.65
47.108146	-88.543228	263.539	4439.75
47.108097	-88.543074	266.903	4455.958
47.107988	-88.542985	268.345	4470.777
47.107999	-88.542935	267.384	4474.793
47.108016	-88.542828	264.981	4483.263
