%"Collected By Brett Hamlin Nov 09, 2009, Hancock, MI"			
%Latitude	Longitude	Elivation (m)	Distrnce (m)
47.146891	-88.623681	275.742	2532.844
47.146956	-88.623953	276.85	2554.939
47.146956	-88.624158	274.798	2570.534
47.147067	-88.62434	267.176	2589.463
47.14723	-88.624362	263.205	2607.673
47.147297	-88.624269	262.827	2617.946
47.147316	-88.624217	262.737	2622.414
47.147421	-88.623809	264.597	2655.591
47.147429	-88.623735	263.516	2661.221
47.147502	-88.623291	259.025	2695.962
47.147616	-88.62315	255.803	2712.8
47.147734	-88.623148	252.903	2726.097
47.147769	-88.623165	251.693	2730.144
47.14793	-88.623325	250.956	2751.887
47.148011	-88.623506	254.348	2768.404
47.148069	-88.623705	258.4	2784.939
47.148096	-88.623831	263.042	2794.803
47.148145	-88.623978	267.263	2807.241
47.148219	-88.624177	271.533	2824.516
47.148315	-88.624383	274.473	2843.47
47.148412	-88.624513	274.472	2858.089
47.14856	-88.62463	274.571	2876.755
47.148718	-88.624777	273.111	2897.535
47.148845	-88.6248	270.83	2911.811
47.148919	-88.624759	270.499	2920.516
47.149018	-88.624658	269.227	2933.762
47.149159	-88.624403	268.427	2958.638
47.149242	-88.624148	266.907	2980.221
47.149433	-88.623752	263.335	3017.386
47.149613	-88.62368	260.485	3038.447
47.14977	-88.623783	259.485	3057.543
47.149814	-88.623823	259.116	3063.269
47.150027	-88.624065	260.148	3093.336
47.150078	-88.624216	264.15	3106.16
47.150093	-88.624329	268.481	3114.935
47.150139	-88.62455	274.593	3132.438
47.15015	-88.624597	276.904	3136.217
47.150167	-88.624769	280.533	3149.193
47.150221	-88.624936	282.674	3163.289
47.150329	-88.62514	282.572	3182.859
47.150405	-88.625345	281.03	3200.685
47.150534	-88.625567	275.477	3222.822
47.150687	-88.62584	269.905	3249.564
47.150815	-88.626019	267.117	3269.13
47.151	-88.626139	263.467	3291.635
47.151149	-88.626098	264.119	3308.518
47.151228	-88.625997	266.099	3320.278
47.151291	-88.625809	268.979	3336.172
47.151383	-88.625519	269.558	3360.42
47.151429	-88.625367	270.357	3373.006
47.151501	-88.625093	268.576	3395.299
47.15152	-88.624981	266.426	3404.042
47.151539	-88.624869	263.794	3412.753
